DateTime,Item_A,Item_B,Frequancy
2017-04-02,Cake,Coffee,23
2017-05-02,Coffee,Cookies,22
2016-05-11,Brownie,Coffee,20
2017-04-03,Bread,Coffee,18
2016-11-19,Bread,Coffee,17
2016-12-29,Bread,Coffee,17
2017-04-03,Coffee,Scone,17
2017-11-03,Coffee,Sandwich,17
2016-02-11,Coffee,Pastry,15
2016-12-11,Coffee,Muffin,15
2017-07-01,Bread,Coffee,15
2017-05-02,Bread,Coffee,15
2017-02-26,Coffee,Sandwich,15
2016-05-11,Bread,Coffee,14
2016-12-11,Brownie,Coffee,14
2016-11-13,Bread,Coffee,14
2016-12-28,Bread,Coffee,14
2017-01-02,Bread,Coffee,14
2017-05-02,Coffee,Sandwich,14
2017-02-17,Bread,Coffee,14
2017-02-17,Coffee,Sandwich,14
2017-10-03,Bread,Coffee,14
2017-05-02,Coffee,Pastry,14
2017-05-02,Coffee,"Hot chocolate",13
2017-11-02,Cake,Tea,13
2016-11-19,Coffee,Medialuna,13
2017-01-15,Bread,Coffee,13
2017-02-02,Bread,Coffee,13
2017-02-19,Cake,Coffee,13
2017-02-25,Cake,Coffee,13
2017-03-25,Cake,Coffee,13
2016-10-31,Coffee,Pastry,12
2016-10-31,Coffee,Muffin,12
2016-11-19,Coffee,Tea,12
2017-01-28,Bread,Coffee,12
2017-02-18,Coffee,Sandwich,12
2017-02-26,Cake,Coffee,12
2017-03-25,Bread,Coffee,12
2017-03-26,Cake,Coffee,12
2016-03-11,Coffee,Pastry,11
2016-05-11,Coffee,Medialuna,11
2016-07-11,Coffee,Muffin,11
2016-12-11,Bread,Coffee,11
2016-04-12,Bread,Coffee,11
2016-12-18,Bread,Coffee,11
2016-12-30,Bread,Coffee,11
2017-01-22,Bread,Coffee,11
2017-05-02,Coffee,Tea,11
2017-02-14,Cake,Coffee,11
2017-02-19,Bread,Coffee,11
2017-03-20,Bread,Coffee,11
2017-01-23,Cake,Coffee,11
2017-11-02,Bread,Coffee,11
2017-12-02,Bread,Coffee,11
2017-02-20,Bread,Coffee,11
2017-03-30,Cake,Coffee,11
2017-05-04,Bread,Coffee,11
2017-02-26,Coffee,Soup,11
2017-02-22,Coffee,Sandwich,11
2017-01-14,Cake,Coffee,10
2017-01-18,Coffee,Tea,10
2017-01-21,Cake,Coffee,10
2017-01-27,Cake,Coffee,10
2017-01-27,Coffee,Cookies,10
2017-05-02,Cake,Coffee,10
2017-11-02,Cake,Coffee,10
2017-11-02,Bread,Cake,10
2017-03-13,Coffee,Pastry,10
2017-04-04,Cake,Coffee,10
2017-01-31,Cake,Coffee,10
2017-12-02,Cake,Coffee,10
2017-01-04,Bread,Coffee,10
2017-02-18,Coffee,Juice,10
2016-10-30,Bread,Coffee,10
2016-04-11,Bread,Coffee,10
2016-11-15,Coffee,Soup,10
2016-11-18,Bread,Coffee,10
2016-11-26,Bread,Coffee,10
2016-03-12,Coffee,Scone,10
2016-03-12,Bread,Coffee,10
2016-03-12,Coffee,Sandwich,10
2016-05-12,Bread,Coffee,10
2016-11-12,Coffee,Medialuna,10
2016-12-29,Coffee,Toast,10
2017-08-01,Bread,Coffee,10
2017-01-28,Coffee,Tea,10
2017-03-02,Bread,Coffee,10
2017-07-02,Cake,Coffee,10
2017-02-24,Bread,Coffee,10
2017-11-03,Bread,Coffee,10
2017-03-25,Coffee,"Spanish Brunch",10
2017-04-04,Bread,Coffee,10
2017-08-04,Cake,Coffee,10
2016-01-11,Coffee,Pastry,9
2016-04-11,Brownie,Coffee,9
2016-05-11,Bread,Brownie,9
2016-05-11,Coffee,Tea,9
2016-10-11,Coffee,Cookies,9
2016-12-11,Alfajores,Coffee,9
2016-11-20,Alfajores,Coffee,9
2016-11-27,Bread,Coffee,9
2016-11-27,Brownie,Coffee,9
2016-12-19,Bread,Coffee,9
2016-12-29,Cake,Coffee,9
2016-12-31,Bread,Coffee,9
2017-05-01,Bread,Coffee,9
2017-07-01,Coffee,Scone,9
2017-01-21,Bread,Coffee,9
2017-01-29,Bread,Coffee,9
2017-01-29,Coffee,Pastry,9
2017-03-02,Coffee,Sandwich,9
2017-09-02,Coffee,Cookies,9
2017-02-17,Bread,Tea,9
2017-02-17,Coffee,Tea,9
2017-02-18,Bread,Coffee,9
2017-02-22,Coffee,Pastry,9
2017-11-03,Coffee,Scone,9
2017-03-21,Bread,Coffee,9
2017-03-25,Bread,Cake,9
2017-02-04,Cake,Coffee,9
2017-08-01,Coffee,Sandwich,9
2017-01-13,Cake,Coffee,9
2017-01-14,Bread,Coffee,9
2017-04-02,Coffee,Sandwich,9
2017-04-02,Bread,Coffee,9
2017-05-02,Coffee,Medialuna,9
2017-02-13,Coffee,Cookies,9
2017-05-03,Cake,Coffee,9
2017-03-24,Cake,Coffee,9
2017-01-20,Coffee,Pastry,9
2017-05-02,Alfajores,Coffee,9
2017-12-03,Cake,Coffee,9
2017-08-02,Bread,Coffee,8
2017-02-23,Bread,Coffee,8
2017-02-26,Coffee,Medialuna,8
2017-02-26,Coffee,Scone,8
2017-03-03,Coffee,Pastry,8
2017-05-03,Bread,Coffee,8
2017-11-03,Cake,Coffee,8
2017-03-19,Cake,Coffee,8
2017-03-26,Coffee,Sandwich,8
2017-02-25,Coffee,Pastry,8
2017-02-26,Coffee,"Spanish Brunch",8
2017-05-04,Coffee,Pastry,8
2017-01-14,Coffee,"Hearty & Seasonal",8
2017-01-14,Coffee,Tea,8
2017-01-27,Bread,Coffee,8
2017-04-02,Coffee,Pastry,8
2017-02-19,Alfajores,Coffee,8
2017-03-17,Cake,Coffee,8
2017-08-03,Coffee,Sandwich,8
2016-10-30,Coffee,Medialuna,8
2016-05-11,Coffee,"Hot chocolate",8
2016-06-11,Coffee,Jam,8
2016-09-11,Bread,Coffee,8
2016-11-11,Brownie,Coffee,8
2016-11-13,Bread,Brownie,8
2016-11-14,Coffee,Muffin,8
2016-11-15,Bread,Coffee,8
2016-11-19,Bread,Medialuna,8
2016-11-20,Cake,Coffee,8
2016-11-20,Bread,Coffee,8
2016-11-25,Bread,Coffee,8
2016-11-26,Coffee,Pastry,8
2016-11-26,Alfajores,Coffee,8
2016-11-27,Coffee,"Hot chocolate",8
2016-05-12,Coffee,Medialuna,8
2016-05-12,Coffee,Sandwich,8
2016-10-12,Coffee,Tea,8
2016-12-15,Coffee,"Hot chocolate",8
2016-12-18,Coffee,"Hot chocolate",8
2016-12-20,Coffee,Pastry,8
2016-12-24,Coffee,"Hot chocolate",8
2016-12-24,Coffee,Tea,8
2016-12-29,Bread,Cake,8
2017-03-01,Cake,Coffee,8
2017-06-01,Bread,Coffee,8
2017-01-20,Bread,Coffee,8
2017-01-22,Coffee,Sandwich,8
2017-01-28,Coffee,Pastry,8
2017-04-02,Brownie,Coffee,8
2017-05-02,Coffee,Scone,8
2017-09-02,Bread,Soup,8
2017-02-13,Bread,Coffee,8
2017-02-18,Bread,Pastry,8
2017-02-21,Bread,Coffee,8
2017-02-21,Coffee,Tea,8
2017-02-26,Coffee,Juice,8
2017-02-28,Cake,Coffee,8
2017-01-03,Cake,Coffee,8
2017-03-03,Bread,Pastry,8
2017-04-03,Bread,Scone,8
2017-06-03,Cake,Coffee,8
2017-09-03,Cake,Coffee,8
2017-12-03,Coffee,"Spanish Brunch",8
2017-03-16,Bread,Coffee,8
2017-03-18,Cake,Coffee,8
2017-03-23,Bread,Coffee,8
2017-03-25,Coffee,Sandwich,8
2017-03-26,Bread,Coffee,8
2017-03-31,Bread,Cookies,8
2017-08-04,Bread,Coffee,8
2016-10-31,Bread,Coffee,7
2016-01-11,Bread,Tea,7
2016-04-11,Coffee,"Hearty & Seasonal",7
2016-05-11,Bread,Medialuna,7
2016-05-11,Brownie,"Hot chocolate",7
2016-05-11,Cake,Coffee,7
2016-06-11,Coffee,Pastry,7
2016-07-11,Bread,Scandinavian,7
2016-07-11,Coffee,Medialuna,7
2016-08-11,Brownie,Coffee,7
2016-10-11,Bread,Cookies,7
2016-10-11,Bread,Coffee,7
2016-12-11,Bread,Medialuna,7
2016-11-13,Coffee,Medialuna,7
2016-11-13,Bread,Pastry,7
2016-11-14,Coffee,Tea,7
2016-11-15,Coffee,Medialuna,7
2016-11-16,Bread,Coffee,7
2016-11-16,Cake,Coffee,7
2016-11-17,Bread,Coffee,7
2016-11-17,Alfajores,Coffee,7
2016-11-22,Cake,Coffee,7
2016-11-26,Coffee,Medialuna,7
2016-11-26,Coffee,Tea,7
2016-11-26,Coffee,Sandwich,7
2016-11-27,Coffee,Muffin,7
2016-11-27,Coffee,Medialuna,7
2016-11-27,Alfajores,Coffee,7
2016-11-28,Coffee,Pastry,7
2016-11-29,Bread,Coffee,7
